seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts
1,A,conflict_id,1080,7259,41928,1.667,377.9,9,6,3,1,0,15,3,14,0,40,40,79,5
1,B,conflict_id,1080,12632,37616,1.333,425.2,9,6,3,1,0,45,5,20,0,39,39,0,5
2,A,conflict_id,1080,11931,46865,1.333,399.4,9,4,3,0,0,20,3,12,0,33,33,77,1
2,B,conflict_id,1080,12395,37334,1.333,437.0,9,4,3,0,0,43,5,18,0,39,39,0,1
3,A,conflict_id,1080,10887,43363,1.333,376.2,9,4,2,1,0,12,3,19,0,38,38,81,1
3,B,conflict_id,1080,12071,36916,1.333,431.9,9,4,2,1,0,43,5,20,0,38,38,0,1
4,A,conflict_id,1080,13135,48914,1.333,380.5,9,4,3,0,0,14,3,7,0,29,29,61,2
4,B,conflict_id,1080,12465,37110,1.333,425.7,9,4,3,0,0,42,4,15,0,38,38,0,2
5,A,conflict_id,1080,11939,47000,1.333,472.1,9,5,2,0,0,34,2,17,0,34,34,84,1
5,B,conflict_id,1080,12345,37700,1.333,1594.6,9,5,2,0,0,45,2,15,0,39,39,0,1
0,A,conflict_id,1080,13770,42722,1.333,342.1,9,6,3,1,0,18,4,11,0,39,39,76,1
0,B,conflict_id,1080,12306,37091,1.333,491.3,9,6,3,1,0,47,5,19,0,39,39,0,1
