seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts
1,A,conflict_id,1080,5540,41370,2.0,1728.7,9,11,0,0,7,43,0,0,12,21,21,25,5
2,A,conflict_id,1080,6117,44264,1.333,349.9,9,9,0,0,6,22,0,0,6,19,19,21,1
3,A,conflict_id,1080,18404,62900,0.0,1584.2,9,6,0,0,5,40,0,0,9,25,25,31,1
4,A,conflict_id,1080,14875,47872,1.667,340.7,9,3,0,0,5,44,0,0,13,26,26,21,2
5,A,conflict_id,1080,10106,46844,1.333,659.7,9,3,0,0,4,58,0,0,16,24,24,20,1
6,A,conflict_id,1080,5088,37255,1.667,2699.8,9,12,0,0,8,87,0,0,23,41,41,39,4
7,A,conflict_id,1080,17048,43227,1.0,332.9,9,4,0,0,4,83,0,0,21,36,36,25,6
8,A,conflict_id,1080,5685,42773,1.333,984.9,9,6,0,0,6,20,0,0,7,17,17,18,13
9,A,conflict_id,1080,17066,44444,1.0,1450.1,9,8,0,0,5,72,0,0,20,29,29,27,3
10,A,conflict_id,1080,16334,50311,1.0,1406.0,9,13,0,0,6,81,0,0,17,38,38,44,5
11,A,conflict_id,1080,9788,40435,1.667,1239.4,9,9,0,0,5,43,0,0,8,28,28,30,1
12,A,conflict_id,1080,7073,46239,1.333,1955.6,9,13,0,0,7,49,0,0,15,27,27,26,2
13,A,conflict_id,1080,15556,51044,1.0,1602.1,9,10,0,0,6,84,0,0,20,35,35,37,1
14,A,conflict_id,1080,15123,48909,1.0,635.6,9,4,0,0,5,71,0,0,8,44,44,40,2
15,A,conflict_id,1080,12306,43431,1.0,205.5,9,3,0,0,4,83,0,0,19,33,33,28,3
