seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,conflict_id,1080,7259,41928,1.667,377.3,9,6,3,1,0,15,3,14,0,40,40,79,5,68460.0,630.0,20860.0,0,0,0
2,A,conflict_id,1080,11931,46865,1.333,380.0,9,4,3,0,0,20,3,12,0,33,33,77,1,75000.0,1310.0,26760.0,0,0,0
3,A,conflict_id,1080,10887,43363,1.333,399.5,9,4,2,1,0,12,3,19,0,38,38,81,1,71480.0,370.0,26060.0,0,0,0
4,A,conflict_id,1080,13135,48914,1.333,382.8,9,4,3,0,0,14,3,7,0,29,29,61,2,75130.0,6330.0,25730.0,0,0,0
5,A,conflict_id,1080,11939,47000,1.333,376.7,9,5,2,0,0,34,2,17,0,34,34,84,1,72980.0,3540.0,25320.0,0,0,0
6,A,conflict_id,1080,4646,39817,1.667,376.2,9,5,4,1,0,12,5,8,0,33,33,66,4,62460.0,1450.0,16740.0,0,0,0
7,A,conflict_id,1080,11275,42255,1.333,517.5,9,4,1,1,0,15,4,14,0,35,35,71,6,70180.0,1330.0,26220.0,0,0,0
8,A,conflict_id,1080,11682,40499,1.667,633.7,9,4,3,0,0,12,3,9,0,33,33,61,13,69010.0,4440.0,27250.0,0,0,0
9,A,conflict_id,1080,4468,39287,1.667,395.3,9,5,4,0,0,12,4,7,0,31,31,61,3,62620.0,1640.0,17000.0,0,0,0
10,A,conflict_id,1080,7769,39694,1.667,417.6,9,5,4,1,0,15,6,12,0,37,37,75,5,63160.0,1990.0,20900.0,0,0,0
11,A,conflict_id,1080,6675,42630,1.667,479.9,9,5,3,1,0,32,4,18,0,35,35,93,1,68610.0,1150.0,20140.0,0,0,0
12,A,conflict_id,1080,4113,39920,2.0,446.4,9,6,4,1,0,13,4,13,0,38,38,78,2,63110.0,1830.0,17430.0,0,0,0
13,A,conflict_id,1080,10646,43785,1.667,391.9,9,6,3,1,0,15,5,11,0,38,38,74,1,72020.0,540.0,25550.0,0,0,0
14,A,conflict_id,1080,14296,42195,1.667,397.4,9,4,2,1,0,17,4,11,0,38,38,79,2,70990.0,3170.0,29920.0,0,0,0
15,A,conflict_id,1080,10829,45199,1.333,395.3,9,4,1,0,0,14,2,13,0,38,38,73,3,74150.0,330.0,25890.0,0,0,0
