seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,conflict_id,1080,5540,41370,2.0,1726.8,9,11,0,0,7,43,0,0,12,21,21,25,5,60460.0,2700.0,12080.0,2.41,2535501.8,14687
2,A,conflict_id,1080,6117,44264,1.333,324.6,9,9,0,0,6,22,0,0,6,19,19,21,1,66920.0,14160.0,18160.0,1.584,644147.6,14763
3,A,conflict_id,1080,18404,62900,0.0,1098.9,9,6,0,0,5,40,0,0,9,25,25,31,1,78000.0,24170.0,30280.0,4.194,4192654.7,14701
4,A,conflict_id,1080,14875,47872,1.667,351.0,9,3,0,0,5,44,0,0,13,26,26,21,2,66890.0,12400.0,29730.0,3.038,3440300.5,14812
5,A,conflict_id,1080,10106,46844,1.333,643.1,9,3,0,0,4,58,0,0,16,24,24,20,1,71170.0,14290.0,24040.0,3.56,4696520.0,14709
6,A,conflict_id,1080,5088,37255,1.667,2710.6,9,12,0,0,8,87,0,0,23,41,41,39,4,68370.0,5710.0,24880.0,2.928,2441334.5,14945
7,A,conflict_id,1080,17048,43227,1.0,338.8,9,4,0,0,4,83,0,0,21,36,36,25,6,68010.0,11980.0,29090.0,3.438,4217819.6,15142
8,A,conflict_id,1080,5685,42773,1.333,985.5,9,6,0,0,6,20,0,0,7,17,17,18,13,67630.0,14220.0,18800.0,2.173,987070.2,14687
9,A,conflict_id,1080,17066,44444,1.0,1515.8,9,8,0,0,5,72,0,0,20,29,29,27,3,70040.0,3850.0,29740.0,4.856,5850235.3,14917
10,A,conflict_id,1080,16334,50311,1.0,1420.3,9,13,0,0,6,81,0,0,17,38,38,44,5,67350.0,11920.0,31480.0,3.511,3016619.2,14995
11,A,conflict_id,1080,9788,40435,1.667,1242.2,9,9,0,0,5,43,0,0,8,28,28,30,1,67940.0,2280.0,25800.0,1.487,539594.4,14749
12,A,conflict_id,1080,7073,46239,1.333,1970.9,9,13,0,0,7,49,0,0,15,27,27,26,2,68190.0,19300.0,23050.0,2.405,1958130.9,14559
13,A,conflict_id,1080,15556,51044,1.0,1601.2,9,10,0,0,6,84,0,0,20,35,35,37,1,77460.0,13030.0,30120.0,5.49,9780592.3,15375
14,A,conflict_id,1080,15123,48909,1.0,643.5,9,4,0,0,5,71,0,0,8,44,44,40,2,66180.0,9930.0,30300.0,3.048,2230295.4,14593
15,A,conflict_id,1080,12306,43431,1.0,204.2,9,3,0,0,4,83,0,0,19,33,33,28,3,71630.0,10380.0,30300.0,2.888,4032424.2,15989
