seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,fingerprint,1080,8074,50478,0.667,388.5,9,6,3,1,0,27,9,19,0,77,36,139,5,71880.0,16430.0,16760.0,0,0,0
2,A,fingerprint,1080,11716,49562,1.333,380.9,9,4,3,0,0,28,12,34,0,102,48,202,1,74830.0,5850.0,24140.0,0,0,0
3,A,fingerprint,1080,6181,40838,1.667,388.6,9,4,2,1,0,26,6,29,0,81,37,157,1,65450.0,12610.0,18270.0,0,0,0
4,A,fingerprint,1080,16092,45608,1.333,374.5,9,4,3,0,0,41,8,14,0,61,37,113,2,71650.0,2070.0,31630.0,0,0,0
5,A,fingerprint,1080,11401,49356,1.333,398.6,9,5,2,0,0,24,9,35,0,99,43,186,1,74160.0,5660.0,24030.0,0,0,0
6,A,fingerprint,1080,12527,42521,1.333,378.7,9,5,4,1,0,81,10,46,0,90,35,215,4,69860.0,760.0,26650.0,0,0,0
7,A,fingerprint,1080,15933,45905,1.333,412.3,9,4,1,1,0,22,3,14,0,37,30,75,6,72320.0,1930.0,31970.0,0,0,0
8,A,fingerprint,1080,9677,41395,1.667,375.0,9,4,3,0,0,28,9,19,0,78,34,144,13,64770.0,9340.0,22960.0,0,0,0
9,A,fingerprint,1080,12083,43068,1.667,480.9,9,5,4,0,0,80,8,16,0,99,34,199,3,67930.0,4250.0,27280.0,0,0,0
10,A,fingerprint,1080,11319,43114,1.333,373.0,9,5,4,1,0,31,9,44,0,101,37,191,5,76590.0,6080.0,32310.0,0,0,0
11,A,fingerprint,1080,11189,49028,1.333,379.9,9,5,3,1,0,24,9,30,0,88,42,170,1,74210.0,5370.0,23780.0,0,0,0
12,A,fingerprint,1080,11293,49040,1.333,378.0,9,6,4,1,0,28,12,37,0,118,46,227,2,74550.0,6140.0,24390.0,0,0,0
13,A,fingerprint,1080,11526,34972,1.667,379.4,9,6,3,1,0,28,10,36,0,91,40,159,1,66580.0,4650.0,29890.0,0,0,0
14,A,fingerprint,1080,14610,43923,1.0,500.5,9,4,2,1,0,28,12,32,0,95,41,170,2,70670.0,11160.0,29200.0,0,0,0
15,A,fingerprint,1080,15526,44838,1.333,379.2,9,4,1,0,0,23,2,16,0,48,33,93,3,71780.0,1950.0,31690.0,0,0,0
