seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,fingerprint,1080,14746,41677,1.333,1945.0,9,11,0,0,7,160,0,0,33,193,37,185,5,74870.0,3580.0,36120.0,1.835,1673936.8,14687
2,A,fingerprint,1080,10611,44560,1.667,327.0,9,9,0,0,6,118,0,0,10,168,20,183,1,67940.0,6770.0,23610.0,1.627,868128.1,14763
3,A,fingerprint,1080,17577,52122,0.333,2414.1,9,6,0,0,5,619,0,0,75,504,45,576,1,60020.0,30020.0,23870.0,3.609,2372518.1,14701
4,A,fingerprint,1080,9827,49961,1.0,350.9,9,3,0,0,5,427,0,0,157,419,31,274,2,75690.0,13670.0,24480.0,2.892,3625830.0,14812
5,A,fingerprint,1080,9172,45880,1.667,333.0,9,3,0,0,4,113,0,0,32,182,27,165,1,75070.0,9370.0,28950.0,2.011,1931569.8,14709
6,A,fingerprint,1080,16587,57854,0.667,2753.9,9,12,0,0,8,364,0,0,176,346,48,367,4,73540.0,23220.0,20370.0,5.089,8510127.3,14945
7,A,fingerprint,1080,14752,38488,1.333,336.3,9,4,0,0,4,377,0,0,80,359,57,372,6,62500.0,12080.0,29700.0,3.448,3522277.8,15142
8,A,fingerprint,1080,10440,43477,1.333,979.6,9,6,0,0,6,101,0,0,8,269,16,238,13,75070.0,6150.0,32390.0,1.765,930219.1,14687
9,A,fingerprint,1080,14947,46500,1.333,1450.0,9,8,0,0,5,447,0,0,182,346,35,244,3,65180.0,22160.0,22440.0,4.365,6077639.1,14917
10,A,fingerprint,1080,15725,50214,0.667,1405.6,9,13,0,0,6,631,0,0,641,815,76,809,5,74530.0,12360.0,29610.0,5.81,9413055.7,15095
11,A,fingerprint,1080,15246,44137,1.333,1249.2,9,9,0,0,5,112,0,0,22,104,31,96,1,74580.0,7300.0,35050.0,2.255,2221487.5,14749
12,A,fingerprint,1080,10457,43784,1.0,1978.6,9,13,0,0,7,216,0,0,45,234,45,224,2,70810.0,4530.0,26920.0,1.867,1689885.8,14559
13,A,fingerprint,1080,16883,59507,0.333,1606.7,9,10,0,0,6,294,0,0,64,282,52,297,1,75580.0,22140.0,24180.0,4.51,7020620.3,14626
14,A,fingerprint,1080,15811,47578,1.0,729.5,9,4,0,0,5,215,0,0,29,188,51,195,2,70800.0,7470.0,28540.0,3.116,4282909.7,14593
15,A,fingerprint,1080,12080,43230,1.0,276.0,9,3,0,0,4,549,0,0,368,624,57,556,3,68750.0,12100.0,29490.0,3.675,5864070.2,15989
