seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,conflict_id,1080,10002,43140,1.667,1469.1,9,11,0,0,7,29,0,0,9,22,22,27,5,62060.0,2100.0,18840.0,1.755,743263.7,15128
2,A,conflict_id,1080,8907,45950,1.667,314.9,9,8,0,0,6,20,0,0,7,21,21,26,1,63890.0,19360.0,16960.0,1.669,654649.1,15400
3,A,conflict_id,1080,5733,44230,1.333,748.8,9,5,0,0,5,75,0,0,7,39,39,37,1,68380.0,8000.0,21040.0,3.382,2614779.1,15246
4,A,conflict_id,1080,10885,51033,1.333,343.3,9,4,0,0,5,39,0,0,13,19,19,18,2,72140.0,18280.0,24830.0,3.081,4156435.3,15267
5,A,conflict_id,1080,9991,46335,1.333,320.1,9,2,0,0,4,34,0,0,8,21,21,21,1,72910.0,10950.0,23890.0,2.582,2612422.6,14709
6,A,conflict_id,1080,6145,37906,1.667,2309.1,9,12,0,0,8,57,0,0,15,35,35,30,4,69790.0,4930.0,24620.0,1.695,205222.0,15138
7,A,conflict_id,1080,16599,48769,0.667,550.5,9,3,0,0,4,67,0,0,9,34,34,27,6,72500.0,13220.0,27450.0,3.08,2746270.7,15507
8,A,conflict_id,1080,15648,54947,0.667,993.1,9,7,0,0,6,34,0,0,10,18,18,20,13,83620.0,12580.0,30290.0,2.639,3903153.4,15174
9,A,conflict_id,1080,17095,55275,0.333,1234.7,9,8,0,0,5,122,0,0,25,42,42,32,3,84270.0,10960.0,39230.0,6.129,8308296.5,16606
10,A,conflict_id,1080,14745,44474,1.667,1301.6,9,11,0,0,6,40,0,0,11,31,31,37,5,66150.0,1670.0,30340.0,1.768,442518.5,14835
11,A,conflict_id,1080,16362,53126,0.667,940.9,9,9,0,0,5,41,0,0,10,33,33,39,1,83740.0,7660.0,37830.0,2.004,756204.4,15158
12,A,conflict_id,1080,8228,46981,1.0,2071.9,9,13,0,0,7,50,0,0,15,27,27,30,2,73060.0,12930.0,22280.0,2.292,1305071.9,14980
13,A,conflict_id,1080,15556,51025,1.0,1670.8,9,10,0,0,6,84,0,0,20,35,35,39,1,75330.0,15140.0,28010.0,5.489,9809497.8,16567
14,A,conflict_id,1080,17616,50072,1.0,610.8,9,3,0,0,5,49,0,0,6,37,37,41,2,67560.0,9510.0,34080.0,3.208,3208613.1,15030
15,A,conflict_id,1080,12039,43499,1.0,198.0,9,3,0,0,4,87,0,0,20,34,34,30,3,71420.0,10450.0,29840.0,2.78,3915461.1,15989
