seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,conflict_id,1080,5540,41370,2.0,1734.5,9,11,0,0,7,43,0,0,12,21,21,25,5,60460.0,2700.0,12080.0,2.41,2535501.8,14687
2,A,conflict_id,1080,6117,44264,1.333,382.9,9,9,0,0,6,22,0,0,6,19,19,21,1,66920.0,14160.0,18160.0,1.584,644147.6,14763
3,A,conflict_id,1080,12036,50029,1.0,689.5,9,6,0,0,5,64,0,0,10,35,35,36,1,71300.0,22590.0,26660.0,3.047,2766572.9,15498
4,A,conflict_id,1080,14875,47872,1.667,339.8,9,3,0,0,5,44,0,0,13,26,26,21,2,66890.0,12400.0,29730.0,3.038,3440300.5,14812
5,A,conflict_id,1080,10106,46844,1.333,647.8,9,3,0,0,4,58,0,0,16,24,24,20,1,71170.0,14290.0,24040.0,3.56,4696506.6,14709
6,A,conflict_id,1080,5088,37255,1.667,2851.3,9,12,0,0,8,87,0,0,23,41,41,39,4,68370.0,5710.0,24880.0,2.928,2441334.5,14945
7,A,conflict_id,1080,15443,38983,1.333,466.7,9,4,0,0,4,126,0,0,23,44,44,21,6,72500.0,3380.0,36830.0,5.717,8456753.2,15142
8,A,conflict_id,1080,5685,42773,1.333,984.9,9,6,0,0,6,20,0,0,7,17,17,18,13,67630.0,14220.0,18800.0,2.173,987070.2,14687
9,A,conflict_id,1080,17066,44444,1.0,1546.2,9,8,0,0,5,72,0,0,20,29,29,27,3,70040.0,3850.0,29740.0,4.856,5850235.3,14917
10,A,conflict_id,1080,17047,45106,1.333,1518.8,9,13,0,0,6,99,0,0,22,37,37,33,5,72130.0,3490.0,32610.0,5.249,9894503.7,14976
11,A,conflict_id,1080,12183,41420,1.667,1248.1,9,9,0,0,5,52,0,0,9,29,29,33,1,65350.0,5820.0,26910.0,1.895,930300.9,14749
12,A,conflict_id,1080,7073,46239,1.333,1979.0,9,13,0,0,7,49,0,0,15,27,27,26,2,68190.0,19300.0,23050.0,2.405,1958130.9,14559
13,A,conflict_id,1080,3257,44637,1.333,1602.8,9,10,0,0,6,103,0,0,22,43,43,41,1,66540.0,15730.0,15680.0,4.718,8831516.8,14656
14,A,conflict_id,1080,15761,41775,1.667,1028.2,9,4,0,0,5,69,0,0,16,38,38,41,2,59140.0,5800.0,28480.0,2.515,1961977.0,14593
15,A,conflict_id,1080,10569,47590,1.0,315.9,9,3,0,0,4,51,0,0,14,23,23,27,3,75700.0,12590.0,25530.0,2.14,2167011.6,15989
