seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,conflict_id,1080,5540,41370,2.0,1737.6,9,11,0,0,7,43,0,0,12,21,21,25,5,60460.0,2700.0,12080.0,2.41,2535501.8,14687
2,A,conflict_id,1080,6117,44264,1.333,340.8,9,9,0,0,6,22,0,0,6,19,19,21,1,66920.0,14160.0,18160.0,1.584,644147.6,14763
3,A,conflict_id,1080,15947,58471,0.0,801.2,9,6,0,0,5,50,0,0,7,30,30,41,1,78400.0,19590.0,27620.0,4.047,4397636.3,14701
4,A,conflict_id,1080,14875,47872,1.667,383.5,9,3,0,0,5,44,0,0,13,26,26,21,2,66890.0,12400.0,29730.0,3.038,3440300.5,14812
5,A,conflict_id,1080,10106,46844,1.333,705.5,9,3,0,0,4,58,0,0,16,24,24,20,1,71170.0,14290.0,24040.0,3.56,4696520.0,14709
6,A,conflict_id,1080,5088,37255,1.667,2767.5,9,12,0,0,8,87,0,0,23,41,41,39,4,68370.0,5710.0,24880.0,2.928,2441334.5,14945
7,A,conflict_id,1080,15275,48469,0.667,341.3,9,4,0,0,4,82,0,0,18,35,35,26,6,75100.0,12250.0,30430.0,3.215,2777585.2,15142
8,A,conflict_id,1080,5685,42773,1.333,1003.0,9,6,0,0,6,20,0,0,7,17,17,18,13,67630.0,14220.0,18800.0,2.173,987070.2,14687
9,A,conflict_id,1080,17066,44444,1.0,1464.1,9,8,0,0,5,72,0,0,20,29,29,27,3,70040.0,3850.0,29740.0,4.856,5850235.3,14917
10,A,conflict_id,1080,14384,49085,1.333,1416.6,9,13,0,0,6,62,0,0,18,30,30,35,5,70690.0,12080.0,29360.0,2.616,2361641.0,14984
11,A,conflict_id,1080,10181,40817,1.667,1555.8,9,9,0,0,5,38,0,0,8,22,22,24,1,68120.0,5550.0,25870.0,1.427,444729.6,14749
12,A,conflict_id,1080,7073,46239,1.333,2483.9,9,13,0,0,7,49,0,0,15,27,27,26,2,68190.0,19300.0,23050.0,2.405,1958130.9,14559
13,A,conflict_id,1080,15556,51040,1.0,1644.4,9,10,0,0,6,83,0,0,20,35,35,39,1,77200.0,13360.0,29790.0,5.506,9751673.5,15413
14,A,conflict_id,1080,10578,45433,1.667,647.5,9,4,0,0,5,56,0,0,8,38,38,38,2,64040.0,6930.0,24810.0,3.229,2337064.2,14593
15,A,conflict_id,1080,13288,55541,0.333,399.8,9,3,0,0,4,70,0,0,17,28,28,25,3,81070.0,15740.0,27230.0,3.298,5137743.9,15989
