seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,conflict_id,1080,6389,40767,1.667,1719.1,9,12,0,0,7,72,0,0,21,36,36,28,5,73040.0,3130.0,26260.0,4.391,4377421.5,15128
2,A,conflict_id,1080,8907,45950,1.667,348.3,9,7,0,0,6,19,0,0,7,21,21,26,1,63900.0,19360.0,16960.0,1.668,652008.1,14763
3,A,conflict_id,1080,11696,53379,0.667,754.4,9,5,0,0,5,39,0,0,8,27,27,35,1,71330.0,20310.0,22710.0,4.027,5065643.8,15246
4,A,conflict_id,1080,12285,50987,1.0,382.0,9,5,0,0,5,40,0,0,11,18,18,17,2,72260.0,18280.0,26410.0,2.193,2353284.9,15267
5,A,conflict_id,1080,11063,48905,1.333,381.0,9,4,0,0,4,28,0,0,9,19,19,21,1,71390.0,19390.0,25060.0,2.125,2181168.9,15368
6,A,conflict_id,1080,11399,43661,1.333,2788.8,9,12,0,0,8,50,0,0,16,31,31,34,4,63590.0,13890.0,19680.0,2.753,2162153.6,15138
7,A,conflict_id,1080,14891,46917,1.0,411.5,9,4,0,0,4,84,0,0,14,38,38,31,6,69890.0,14250.0,25490.0,3.83,3907241.0,15507
8,A,conflict_id,1080,9516,46108,1.333,1104.5,9,6,0,0,6,33,0,0,10,23,23,18,13,75430.0,10790.0,24890.0,2.043,484283.1,14687
9,A,conflict_id,1080,14478,42434,1.0,1771.8,9,7,0,0,5,94,0,0,20,38,38,30,3,73960.0,1800.0,34540.0,3.594,3881299.5,14917
10,A,conflict_id,1080,12152,40410,1.667,1504.2,9,12,0,0,6,59,0,0,17,36,36,47,5,64380.0,6140.0,25370.0,2.245,1742583.8,14835
11,A,conflict_id,1080,13433,48989,1.0,1132.9,9,11,0,0,5,55,0,0,10,34,34,43,1,75100.0,14090.0,27800.0,2.061,444160.8,15158
12,A,conflict_id,1080,1383,40379,2.0,2227.2,9,14,0,0,7,42,0,0,14,26,26,30,2,62180.0,7780.0,11070.0,2.18,1248817.9,14559
13,A,conflict_id,1080,15556,48533,1.0,1786.3,9,10,0,0,6,84,0,0,21,36,36,37,1,73780.0,13110.0,29870.0,5.629,10625722.3,15283
14,A,conflict_id,1080,13052,49786,1.333,872.4,9,5,0,0,5,62,0,0,11,37,37,50,2,63120.0,19630.0,20530.0,5.037,8379555.9,15030
15,A,conflict_id,1080,11743,42677,1.0,547.1,9,3,0,0,4,117,0,0,27,37,37,24,3,73620.0,6450.0,29680.0,4.114,9024478.1,15989
1,A,conflict_id,1080,6389,40767,1.667,1746.5,9,12,0,0,7,72,0,0,21,36,36,28,5,73040.0,3130.0,26260.0,4.391,4377421.5,15128
2,A,conflict_id,1080,8907,45950,1.667,351.5,9,7,0,0,6,19,0,0,7,21,21,26,1,63900.0,19360.0,16960.0,1.668,652008.1,14763
3,A,conflict_id,1080,11696,53379,0.667,751.5,9,5,0,0,5,39,0,0,8,27,27,35,1,71330.0,20310.0,22710.0,4.027,5065643.8,15246
4,A,conflict_id,1080,12285,50987,1.0,373.2,9,5,0,0,5,40,0,0,11,18,18,17,2,72260.0,18280.0,26410.0,2.193,2353284.9,15267
5,A,conflict_id,1080,11063,48905,1.333,380.1,9,4,0,0,4,28,0,0,9,19,19,21,1,71390.0,19390.0,25060.0,2.125,2181168.9,15368
6,A,conflict_id,1080,11399,43661,1.333,2788.0,9,12,0,0,8,50,0,0,16,31,31,34,4,63590.0,13890.0,19680.0,2.753,2162153.6,15138
7,A,conflict_id,1080,14891,46917,1.0,417.4,9,4,0,0,4,84,0,0,14,38,38,31,6,69890.0,14250.0,25490.0,3.83,3907241.0,15507
8,A,conflict_id,1080,9516,46108,1.333,1083.5,9,6,0,0,6,33,0,0,10,23,23,18,13,75430.0,10790.0,24890.0,2.043,484283.1,14687
9,A,conflict_id,1080,14478,42434,1.0,1724.0,9,7,0,0,5,94,0,0,20,38,38,30,3,73960.0,1800.0,34540.0,3.594,3881299.5,14917
10,A,conflict_id,1080,12152,40410,1.667,1407.9,9,12,0,0,6,59,0,0,17,36,36,47,5,64380.0,6140.0,25370.0,2.245,1742583.8,14835
11,A,conflict_id,1080,13433,48989,1.0,1117.8,9,11,0,0,5,55,0,0,10,34,34,43,1,75100.0,14090.0,27800.0,2.061,444160.8,15158
12,A,conflict_id,1080,1383,40379,2.0,2186.4,9,14,0,0,7,42,0,0,14,26,26,30,2,62180.0,7780.0,11070.0,2.18,1248817.9,14559
13,A,conflict_id,1080,15556,48533,1.0,1783.9,9,10,0,0,6,84,0,0,21,36,36,37,1,73780.0,13110.0,29870.0,5.629,10625722.3,15283
14,A,conflict_id,1080,13052,49786,1.333,815.2,9,5,0,0,5,62,0,0,11,37,37,50,2,63120.0,19630.0,20530.0,5.037,8379555.9,15030
15,A,conflict_id,1080,11743,42677,1.0,535.3,9,3,0,0,4,117,0,0,27,37,37,24,3,73620.0,6450.0,29680.0,4.114,9024478.1,15989
