seed,arm,approval_rule,ticks,premier_delay_s,total_fleet_delay_s,cleared_through_SEC-PWL-KSV_per_sim_hour,max_solve_ms,largest_group,uncovered_trains_t0,contradictory_instructions_t0,refused_directives_t0,policy_exceeded_t0,uncovered_trains_total,contradictory_instructions_total,refused_directives_total,policy_exceeded_total,approval_events,distinct_conflict_ids,directives_submitted,seed_attempts,standing_s_total,regulated_s_total,premier_standing_s,trains_held_gt0_mean,total_hold_var_mean,worst_hold_s_max
1,A,conflict_id,1080,9373,40713,2.0,1049.4,9,12,0,0,7,56,0,0,12,32,32,33,5,61710.0,3380.0,27830.0,2.472,1552890.3,14687
1,B,conflict_id,1080,12632,37616,1.333,2436.5,9,12,0,0,7,107,0,0,37,39,39,0,5,71120.0,0.0,34010.0,7.308,14502642.7,15347
2,A,conflict_id,1080,6515,41720,1.667,345.9,9,8,0,0,6,22,0,0,10,15,15,20,1,68310.0,10670.0,20470.0,1.412,305689.6,14763
2,B,conflict_id,1080,12395,37334,1.333,1904.7,9,8,0,0,6,103,0,0,37,39,39,0,1,70720.0,0.0,33620.0,7.323,14418109.1,15141
3,A,conflict_id,1080,14571,48666,1.0,723.3,9,5,0,0,5,106,0,0,17,44,44,36,1,70070.0,18200.0,29250.0,4.749,6124989.7,14701
3,B,conflict_id,1080,12071,36916,1.333,1386.0,9,5,0,0,5,99,0,0,36,38,38,0,1,70760.0,0.0,33860.0,7.301,14492501.2,15144
4,A,conflict_id,1080,7874,46913,1.333,272.8,9,3,0,0,5,31,0,0,12,21,21,20,2,68910.0,21480.0,20950.0,1.934,1771760.1,14812
4,B,conflict_id,1080,12465,37110,1.333,1380.9,9,3,0,0,5,95,0,0,36,38,38,0,2,70870.0,0.0,33740.0,7.305,14338523.5,16289
5,A,conflict_id,1080,16302,42798,1.667,248.6,9,5,0,0,4,47,0,0,13,23,23,22,1,63390.0,3080.0,32210.0,2.291,3535497.7,15098
5,B,conflict_id,1080,12345,37700,1.333,1067.3,9,5,0,0,4,101,0,0,37,39,39,0,1,70650.0,0.0,33780.0,7.305,14543727.0,15827
6,A,conflict_id,1080,2986,42776,1.667,1439.1,9,12,0,0,8,33,0,0,12,25,25,26,4,67550.0,11340.0,14130.0,2.042,271459.7,14945
6,B,conflict_id,1080,12591,37293,1.333,2257.3,9,12,0,0,8,105,0,0,38,40,40,0,4,71310.0,0.0,33910.0,7.315,14522721.7,17764
7,A,conflict_id,1080,15443,38983,1.333,532.3,9,4,0,0,4,122,0,0,27,41,41,22,6,73310.0,2200.0,37240.0,5.785,9125921.7,15142
7,B,conflict_id,1080,12167,36911,1.333,1454.7,9,4,0,0,4,97,0,0,36,38,38,0,6,70930.0,0.0,33850.0,7.301,14453582.9,15621
8,A,conflict_id,1080,6535,46701,1.333,1098.3,9,5,0,0,6,41,0,0,10,23,23,19,13,75110.0,13690.0,21740.0,2.335,1553539.3,14687
8,B,conflict_id,1080,12285,36562,1.333,2614.1,9,5,0,0,6,107,0,0,37,39,39,0,13,71040.0,0.0,33940.0,7.306,14746183.5,20034
9,A,conflict_id,1080,17066,44444,1.0,1563.9,9,9,0,0,5,72,0,0,19,29,29,27,3,70040.0,3850.0,29740.0,4.846,5856095.5,14917
9,B,conflict_id,1080,12287,36318,1.333,17479.3,9,9,0,0,5,104,0,0,36,38,38,0,3,70630.0,0.0,33690.0,7.298,14463164.2,16307
10,A,conflict_id,1080,9104,47992,1.333,565.7,9,9,0,0,6,66,0,0,12,33,33,30,5,71460.0,12000.0,19730.0,2.537,2280715.9,14719
10,B,conflict_id,1080,12519,37269,1.333,2622.0,9,9,0,0,6,101,0,0,36,38,38,0,5,71310.0,0.0,34030.0,7.327,14680069.8,15151
11,A,conflict_id,1080,8393,42856,1.333,1088.2,9,10,0,0,5,98,0,0,24,43,43,36,1,71390.0,12990.0,26930.0,3.724,3478976.5,14749
11,B,conflict_id,1080,12217,37655,1.333,1943.9,9,10,0,0,5,107,0,0,37,39,39,0,1,70970.0,0.0,33790.0,7.308,14553153.3,15192
12,A,conflict_id,1080,11507,49167,0.667,1340.3,9,15,0,0,7,79,0,0,22,41,41,38,2,81870.0,3760.0,31340.0,3.625,1264765.7,14559
12,B,conflict_id,1080,12182,37563,1.333,2361.8,10,15,0,0,7,117,0,0,39,41,41,0,2,71250.0,0.0,33980.0,7.354,14904542.3,23142
